,分ち書き
272,6キロ>◆赤身漬け夏らしい爽やかでフレッシュさがあります冷凍は一切使わない旬の柔らかなお味◆鮑千葉大原1キロオーバー、肝を挟んでいただきます弾力を生かした鮑で肝と合わさり海の香り漂い、シャリに負けない強さがありました◆中トロベビーピンクの美しい中トロ、先程より濃厚さが増して鮮明なお味に◆蟹根室の毛蟹、いつも通りその場で茹でて出来たてをいただきます引き締まった身と甘み、味噌を合わせた濃厚なシャリ掛け合わせた真っ直ぐな美味しさをもったお味◆大トロ漬け炙りじゅうじゅうと音を立て、漬け炙りの香りが充満します脂と濃厚さを上手く表現したお味です◆巻物赤身、中トロ、漬け炙りをミックスしたいつもの恵方巻級巻物ずっしり重く食べ応え十分、思いっきり楽しみたいお味です◆マコガレイと肝お腹いっぱいと思っていたらもう一貫出てきましたむにゅっとした食感に肝の旨みは相性抜群、最後に美味しいサプライズ最後まで良いネタ尽くしでした◆干瓢◆玉お腹いっぱいの初音鮨一色の日となった幸せな1日
273,時間が経っても色褪せない情景、次回は7月夏色の初音鮨が今からとても楽しみです
274,<全文はこちらです↓>http://food-garden
275,net/foodpost/%e5%88%9d%e9%9f%b3%e9%ae%a8/
276,2017/02再訪たこすみいかたい’（生ハムのような食感）げそとカラスミ天然ウナギあんきもいさき白子まぐろ漬け赤貝ちゅうとろかに大トロマグロ全て巻きたまご何か数点失念しました
277,今回はげそカラスミあんきもしらこが最高でした
278,その他もこちらでしか頂けない唯一無二の握りですね
279,個性的なスタイルの為色々なご意見あると思いますがこちらのご主人のサービス精神や握りに対する情熱は感動します
280,次回はいつになる事やら気長に待つことにします
281,ごちそうさまでした
282,2016/02再訪半年ぶりに伺いました
283,初めてのランチです
284,さわらひらめ佐島のタコ鯛あおりいかとからすみ
285,
286,赤身生赤身漬け中トロ生中トロ漬けぶり
287,
288,しらこ毛ガニ大トロ生大トロ漬けマグロ全て入り太巻かんぴょう玉順不同途中失念＞＜小肌もアナゴも無く熟成物ばかりの印象です
289,まぐろも生も頂きましたが私には水分を取られすぎに感じました
290,終盤のまぐろが全て入った太巻はそれぞれの味わいも感じられず勿体ない一品ですね
291,私の中では普段いろんなお鮨屋さんに行かれている方がルーティンに入れられる変わり鮨やさんと位置付けているのですがやはり定番のアナゴや小肌などは頂きたいな～と思うのでした
292,でも好きなお鮨屋さんに変わりは無いです
293,ごちそうさまでした
294,2015/09再訪ようやく再訪出来た今回8時一斉スタートなので10分前に到着しかし今回はまだお客様がいらっしゃって席につけたのは15分過ぎでしょうか
295,今日は沢山頂くつもりでお昼も抜いてきたのでスタートのビールは最高でした
296,4か月以上空いたので内容はガラッと変わり佐島のタコからスタートでしたが潮の香り風味が素晴らしいです
297,今回唸ったのはアマダイ鯛いくらイカとばちこそして鱧松茸に天然ウナギマグロは大間の最上級の品のようでした
298,こちらでしか頂けない鮨を今回も堪能
299,そしてまだ2回目で間もあいていて予約者の名前も違うのに甲殻アレルギーの事を覚えて下さっていた事に驚きと感動です
300,2時間半が本当にあっという間で次回が待ちきれませんね
301,欲を言えばまぐろは熟成しきっていない中トロも頂きたかった＞＜生のマグロというより生ハムのような味わいです
302,でもまあ生のマグロは他でも頂けるのでこちらのお任せを楽しむのが一番でしょうね
303,ごちそうさまでした
304,2015/05好きなレビュアーさんの内容に惹かれずっと気になっていた初音鮨さんに伺いました
305,お鮨屋さんで２部制は初めてです
306,でも伺ってその理由が判りました
307,８名分の席は満席で皆様ほぼ時間通りに着席
308,次々におしぼりを頂きお飲物をオーダーしていると店主さんがご丁寧にごあいさつ下さり出来たてのしゃりをテイスティングさせて下さいます
309,しゃりの時間の経過に合わせて最適なネタを最適な温度で合わせ最高に美味しい食し方を提供したい
310,そんな想いからの２部制なのだとここで理解しました
311,あおりいか鯵ひらめとりがいまぐろ赤味鮪赤味漬けみる貝中とろ中とろ漬けクルマエビ金目鯛大トロ大トロ漬けうに鉄火巻きかんぴょう巻きたまご若干順不同です
312,おまかせでマグロを６貫も頂いたのは初めてですがそれぞれ全く別の味わいでした
313,マグロ好きな私はおまかせは得意ではないのですがこちらのお任せは大歓迎です
314,そして炙っていないのにここまで香り高く美味しい海苔に驚きました
315,しばらくはこちらが握りのみだという事に気がつきませんでしたが２時間たっぷり握りのみを堪能しました
316,おつれと談笑しながら鮨をつまみたい方や接待などには向かないお鮨屋さんですが旬を大切にし日本の漁師の将来も考え本当に美味しい魚を知ってほしいと取り組まれる姿勢は大変勉強になりますし旬の魚をご主人の見立てで仕事されたお鮨を堪能するのはお鮨の楽しみ方の幅が広がると感じました
317,本当に美味しかった～そして楽しかった
318,ごちそうさまでした
319,
320,いつもお世話になっているマイフォロアーさんから、こちらへのお誘いを頂く
321,　かねてより一度は訪れてみたかった店であり、喜び勇んでお受けする
322,　普段は夜だけの営業のようだが、土曜日に限り昼でも開けている
323,　定員は8名でもちろん完全予約制であるが、席を確保するのは至難の技とのこと
324,　ご一緒したのはお声を掛けて頂いた眉目秀麗なご婦人と、初めてお目に掛かる下町のお店に精通されている好青年
325,　場所は蒲田駅から広い通りを5
326,6分進んだ、分かりやすい所
327,　12時丁度に一斉に仕事がスタートするため早めに参集せよとのご指示が有り、15分くらい前に無事到着
328,　外観は洒落たカフェのようにも見えるが、一歩中に入るとそこは完全に和の空間で、待合室的な畳敷きの小上がりには季節の設えや生花が飾られ、華やいだ雰囲気を醸し出している
329,　客席は奥の掘りごたつ式のｌ字型のカウンターで、艶やかな和服姿の女将さんにより、到着順に案内された
330,　この日は息子さんがご両親を伴って訪れたご一家3人、常連と思しきお一人で寄られた男性の方2名、それに我々と言うメンバー
331,　私はご主人の手捌きが横から眺められる、恰好の席に座らせてもらった
332,　先に女将さんから飲み物を訊かれるが、私は「生ビール」を所望
333,　程なくご主人の挨拶でスタートと相成ったが、それはまるで寄席の口上のようで、これからの楽しいひと時への期待が高まる
334,　早速今し方炊き上げて酢を打ったばかりのシャリを客に提示し、まずそれを少量ずつ味見させる
335,　酢には砂糖などの甘味は一切加えておらず、食感も多少パラついているように思うが、これが徐々になじんで酢飯として落ち着いた味わいになるとのこと
336,　ご主人の軽妙な語り口とユーモアのセンスは落語家も顔負けで、時々に交える食材や仕事に関する薀蓄話にも、客はつい引き付けられていく
337,　こちらの質問にも的確に答えてくれるし、写真撮影も大歓迎とのこと
338,　しかも撮られることを楽しんでいるかのような表情やポーズには、旺盛なサービス精神が溢れている
339,　要所ごとに奥から姿を見せる、終始微笑みを絶やさない女将さんとの意気もぴったりで、夫唱婦随のほほえましさが感じ取れる
340,　おまかせのコースは前菜的なものは無く、17種類ほどの握りずしのみで構成される
341,　季節ごとの旬物が鮨だねとして登場するが、選りすぐった上物であることはもちろん、そのすべてに繊細な仕事が施されている
342,　ネタのほとんどは握る直前に客の目の前で包丁で引かれ、それを大皿に並べてゆく
343,　その皿も素材が適温になるように、程良く温められたものが使われている
344,　また握った鮨は1個ずつ、直接客に手渡しされるのもこちらの特色で、これも江戸前伝統の手法のひとつとのこと
345,　これを味わう時は、逆さまにしてネタを舌の上に乗せるように口に入れる事を薦められる
346,　握り具合は中に空気を含ませているが、手渡しされても形が崩れるようなことは無く、口の中ではらりと解ける卓越の技を見せる
347,　箸は出されないが、もちろん客の手元にはおしぼりの他に手拭き用の布巾も用意されている
348,　種類によって仕上げも工夫されており、塩で出す場合は手のひらに少量の手塩をしてからネタを取り、その上にシャリを乗せて握っていた
349,　煮切りを塗って出す場合には、独特の毛の短い刷毛で少量を垂らす程度
350,　山葵は案外少な目で、ネタの下に忍ばせることも有れば、上に乗せて出す場合も有る
351,　それぞれの特性に合わせて、仕事のやり方に違いが見せる点は実に面白い
352,　握りは登場順に次の通り
353,＊アオリイカ：本来夏場が旬のアオリイカがこの時期に上がることを、ご主人は懸念していた
354,　塩と酢橘で食べさせるが、イカの甘味が感じられる
355,　＊唐墨+アオリイカのゲソたたき：昨年仕込んだという自家製の唐墨をドーンと見せてくれたが、これだけの大きさのものは珍しい
356,　これを丁寧に皮を剥いて薄くスライスした3枚に、アオリイカのゲソをたたいてから炙ったものを挟んで握られている
357,　これには唐墨の仕込みで使った日本酒の「会津中将」が、少量ずつ添えられた
358,　唐墨のねっとりとした食感と適度な塩気が、イカの風味や歯触りと相俟ってなかなか楽しい
359,＊鰻：淡路島の近海で獲れた天然ものを地焼きで
360,　焼く前の開いたものを見せてくれたが、1㎏を超える大物でその迫力に驚く
361,　皮目の香ばしさと歯応え、適度に落ちた脂の旨味が好ましい
362,　ここでガリが登場
363,　新生姜の時期に大量に仕込んでいるそうで、一般的なスライスでは無く丸のまま漬け込んだものを、2ミリほどにカットして出される
364,　こちらにも甘味の添加は全く無く、一方辛味は極めて穏やかで、食感も驚くほど柔らかい
365,　一般的なガリの概念とは異なり、あくまでも握りずしの合間の口直しとしての役割を持たせている
366,＊赤貝：大分産とのこと
367,　身の下に「ひも」も合わせて握っているが、これも間違いのない美味さ
368,＊かんぱち：数日間熟成させた腹側が極薄に長く引かれ、これを巻き込むようにして握られた
369,　味の凝縮が感じられる
370,　ここで後で出される本鮪が、＇土手＇のままの巨塊で披露された
371,　今回は青森の「三厩」の産
372,　ご主人は専用の包丁で血合いを削ぎ落としていく
373,　切り立てはやや黒ずんでいるが、空気に触れることで鮮やかな赤色に変化していくとのこと
